"family_name","var_name","processing","description_short","source"
"Social Institutions","Engaged society",NA,"Captures whether wide and independent public deliberations are made when important policy changes are being considered","V-Dem, Variety of Democracy database"
"Social Institutions","Freedom of assembly and association",NA,"Measures whether people can freely attend community meetings, join political organizations, hold peaceful public demonstrations, sign petitions, and express opinions against government policies and actions without fear of retaliation","World Justice Project, Rule of Law"
"Social Institutions","Freedom of academic and cultural expression",NA,"Measures whether ""there is academic freedom and freedom of cultural expression related to political issues""","V-Dem, Variety of Democracy database"
"Social Institutions","Freedom of belief and religion",NA,"Measures whether members of religious minorities can worship and conduct religious practices freely and publicly","World Justice Project, Rule of Law"
"Social Institutions","Freedom of opinion and expression",NA,"Measures whether an independent media, civil society organizations, political parties, and individuals are free to report and comment on government policies without fear of retaliation","World Justice Project, Rule of Law"
"Social Institutions","Freedom from arbitrary interference with privacy",NA,"Measures whether the police or other government officials conduct physical searches without warrants, or intercept electronic communications of private individuals without judicial authorization","World Justice Project, Rule of Law"
"Social Institutions","Freedom of discussion for men",NA,"Captures whether government or cultural/customary rules restrict men from openly discussing political issues in private homes and in public spaces","V-Dem, Variety of Democracy database"
"Social Institutions","Freedom of discussion for women",NA,"Captures whether government or cultural/customary rules restrict women from openly discussing political issues in private homes and in public spaces","V-Dem, Variety of Democracy database"
"Social Institutions","Women's social equality index",NA,"Captures female social equality based on a CLIAR custom index aggregating Women, Business, and the Law indicators for mobility, marriage, and assets","CLIAR (WBL)"
"Transparency and Accountability Institutions","Right to information",NA,"Measures whether requests for information held by a government agency are granted within a reasonable time period and at a reasonable cost without paying a bribe","World Justice Project, Rule of Law"
"Transparency and Accountability Institutions","Publicized laws and government data",NA,"Measures whether basic laws and information on legal rights are publicly available, presented in plain language, and made accessible in all languages used in the country or jurisdiction","World Justice Project, Rule of Law"
"Transparency and Accountability Institutions","Open budget index","Data is published in odd years, but it actually makes reference to t-1 year (i.e., even). We correct this in the ETL for the entire indicator, thus also allowing the estimation of the cluster level dynamic CTF on even years.","Captures the extent to which the public has access to timely and comprehensive budget information","Open Budget Survey"
"Transparency and Accountability Institutions","Complaint mechanisms",NA,"Measures whether people are able to bring specific complaints to the government about the provision of public services or the performance of government officers in carrying out their legal duties in practice as well as whether government officials respond to such complaints","World Justice Project, Rule of Law"
"Transparency and Accountability Institutions","Digital citizen engagement index score",NA,"Measures aspects of public participation platforms, citizen feedback mechanisms, open data, and open government portals.","GTMI"
